/* start code_ref=regions_plugin_output_2|code_cap=Excerpts from the region property report.*/
scenario	seed_index	seed_value	time	region	property	value
0	0	-7834265884293137617L	0.0	Region_0	LAT	45.08307901948476
0	0	-7834265884293137617L	0.0	Region_0	LON	128.5497267736204
0	0	-7834265884293137617L	0.0	Region_1	LAT	45.73317078392115
0	0	-7834265884293137617L	0.0	Region_1	LON	128.98292164396958
0	0	-7834265884293137617L	0.0	Region_2	LAT	45.74702447122078
0	0	-7834265884293137617L	0.0	Region_2	LON	128.5118606592755
0	0	-7834265884293137617L	0.0	Region_3	LAT	45.8303102139607
0	0	-7834265884293137617L	0.0	Region_3	LON	128.55192626408567
0	0	-7834265884293137617L	0.0	Region_4	LAT	45.59334365958997
0	0	-7834265884293137617L	0.0	Region_4	LON	128.7915941303198
0	0	-7834265884293137617L	1.0	Region_5	LAT	35.99754757587744
0	0	-7834265884293137617L	1.0	Region_5	LON	128.2594279657217
0	0	-7834265884293137617L	21.0	Region_6	LAT	35.84682720256188
0	0	-7834265884293137617L	21.0	Region_6	LON	128.2211833000355
0	0	-7834265884293137617L	41.0	Region_7	LAT	35.07267582475035
0	0	-7834265884293137617L	41.0	Region_7	LON	128.37457313813837
0	0	-7834265884293137617L	50.0	Region_0	VACCINE_PRIORITY	false
0	0	-7834265884293137617L	50.0	Region_1	VACCINE_PRIORITY	false
...
4	4	-7584580254621783722L	93.0	Region_2	VACCINE_PRIORITY	false
4	4	-7584580254621783722L	94.0	Region_1	VACCINE_PRIORITY	true
4	4	-7584580254621783722L	95.0	Region_2	VACCINE_PRIORITY	true
4	4	-7584580254621783722L	96.0	Region_7	VACCINE_PRIORITY	true
4	4	-7584580254621783722L	97.0	Region_0	VACCINE_PRIORITY	false
4	4	-7584580254621783722L	98.0	Region_1	VACCINE_PRIORITY	false
4	4	-7584580254621783722L	99.0	Region_0	VACCINE_PRIORITY	true

/* end */
